Day,Hour,Marginal Price (Pkr/Kwh)
31,6,14.642237
31,7,14.647512
31,8,12.07316
31,9,14.67091
31,10,14.687181
31,11,14.702315
31,12,14.70897
31,13,14.718599
31,14,24.36568
31,15,24.36568
31,16,24.202701
31,17,24.36568
31,18,10.327981
31,19,10.206542
31,20,24.36568
31,21,24.36568
31,22,32.172924
31,23,32.033345
1,0,32.154217
1,1,32.59066
1,2,31.717192
1,3,14.544892
1,4,3.06566
1,5,3.06566
1,6,3.06566
1,7,3.06566
1,8,3.06566
1,9,10.903303
1,10,10.91161
1,11,5.7796
1,12,5.7796
1,13,5.7796
1,14,5.7796
1,15,5.7796
1,16,5.7796
1,17,5.7796
1,18,5.637
1,19,5.7796
1,20,10.770346
1,21,5.7796
1,22,5.7796
1,23,14.568387
2,0,24.251368
2,1,14.762105
2,2,14.844856
2,3,3.06566
2,4,3.06566
2,5,3.06566
2,6,3.06566
2,7,3.06566
2,8,5.5362
2,9,5.5362
2,10,5.5362
2,11,5.5362
2,12,5.5362
2,13,5.7796
2,14,11.019637
2,15,29.9768
2,16,29.9768
2,17,29.9768
2,18,5.637
2,19,5.637
2,20,24.251368
2,21,24.251368
2,22,29.9768
2,23,29.9768
3,0,24.251368
3,1,24.251368
3,2,24.251368
3,3,14.671675
3,4,5.5362
3,5,5.5362
3,6,5.5362
3,7,3.06566
3,8,3.06566
3,9,3.06566
3,10,5.5362
3,11,5.5362
3,12,5.5362
3,13,5.637
3,14,10.820206
3,15,10.778653
3,16,10.444631
3,17,5.7796
3,18,5.7796
3,19,10.047556
3,20,10.791123
3,21,24.251368
3,22,24.251368
3,23,24.251368
4,0,24.251368
4,1,24.251368
4,2,24.461633
4,3,10.737109
4,4,10.74957
4,5,3.06566
4,6,3.06566
4,7,3.06566
4,8,3.06566
4,9,3.06566
4,10,3.06566
4,11,3.06566
4,12,3.06566
4,13,3.06566
4,14,5.5362
4,15,5.5362
4,16,5.5362
4,17,3.06566
4,18,5.5362
4,19,10.616613
4,20,28.181883
4,21,24.064466
4,22,24.932609
4,23,24.813369
5,0,25.761092
5,1,26.529461
5,2,26.318626
5,3,24.064466
5,4,24.064466
5,5,24.064466
5,6,24.905525
5,7,25.139152
5,8,5.637
5,9,10.753723
5,10,24.251368
5,11,24.251368
5,12,24.251368
5,13,24.251368
5,14,24.251368
5,15,24.064466
5,16,24.064466
5,17,24.064466
5,18,10.654012
5,19,14.438404
5,20,24.064466
5,21,29.631777
5,22,29.65752
5,23,29.634812
6,0,29.627052
6,1,24.064466
6,2,24.064466
6,3,24.064466
6,4,24.064466
6,5,24.064466
6,6,24.064466
6,7,11.011321
6,8,11.027944
6,9,24.064466
6,10,24.064466
6,11,5.637
6,12,5.637
6,13,14.456425
6,14,24.251368
6,15,24.251368
6,16,24.251368
6,17,24.064466
6,18,14.45391
6,19,14.451637
6,20,24.251368
6,21,24.064466
6,22,24.064466
6,23,24.251368
7,0,24.064466
7,1,24.251368
7,2,24.251368
7,3,24.251368
7,4,24.064466
7,5,24.064466
7,6,10.78696
7,7,10.78696
7,8,3.06566
7,9,13.44
7,10,13.44
7,11,5.637
7,12,5.637
7,13,5.5362
7,14,13.44
7,15,14.484923
7,16,14.475348
7,17,11.9709
7,18,5.8083
